역이름,경도,위도
용두(동대문구청),203364.8856577509,452721.0055163999
신정네거리,186997.15718034428,446742.2460901973
양천구청,188136.94465773177,445888.6009411948
도림천,189635.68184459477,446096.25408400537
신답,204106.261104012,452278.7173137325
용답,204497.04863655503,451375.91881042375
아현,196124.71615789487,450869.61019599845
이대,195229.7894943289,450802.1512346117
문래,190696.3308657846,446499.6606810575
구로디지털단지,191279.62566596377,442873.40875019785
신대방,192318.8770617256,443116.1124927068
봉천,194860.56570661045,442548.1229455772
서울대입구(관악구청),195819.88005438712,442423.8359586208
낙성대,196788.54988222788,441944.2766559357
방배,199787.37258882492,442442.65622824937
서초,200700.1398838585,443604.8255866729
역삼,203223.6113087287,444573.7817534512
삼성(무역센터),205584.2925808968,445487.5676729547
잠실새내,207617.7262583649,445804.7180677721
잠실나루,209175.14000476128,446810.28313262376
강변(동서울터미널),208368.29052853305,448403.4376491876
구의(광진구청),207593.40317335245,448622.6715307741
성수,204945.4330538519,449453.52700810647
뚝섬,204185.8111856825,449742.01122266497
한양대,203857.36565647792,450639.6344493892
상왕십리,202593.41126256555,451647.0272714203
을지로입구,198464.34305519224,451831.004795707
시청,197827.55187524555,451561.88945800153
제기동,203082.21251586516,453173.1738350652
종로5가,200163.3438744404,452376.0390473293
종각,198491.3726961689,452291.2684222825
